prompt,model_answer,gold_answer,source,is_hallucination,explanation
Кто вместе с Джеймсом Уотсоном и Фрэнсисом Криком разделил Нобелевскую премию по физиологии и медицине 1962 года за открытие структуры ДНК?,"Морис Уилкинс (Morris Wilkins) был третьим учёным совместно с Джеймсом Уотсоном и Фрэнсисом Криком, кто получил Нобелевскую премию в области медицины в 1962 году за установление пространственной структуры двойной спирали дезоксирибонуклеиновой кислоты (ДНК).",Морис Уилкинс (Розалинд Франклин скончалась до вручения премии и не могла быть номинирована),data/gemini.csv_hot,True,"Неверное имя: указывалось ""Morris Wilkins"", тогда как награду получил Морис Уилкинс (Maurice Wilkins)"
Какая суверенная страна в мире обладает самой длинной береговой линией?,Ответ на ваш вопрос зависит от выбранного метода подсчета побережья. Если учитывать только основные береговые линии и прибрежные зоны материков или архипелагов — то у Канадского Арктического Архипелага (канадская часть арктических островов между материком Североамериканской Арктики с юга и морем Баффина и море Бофор с севера) самая длинная основная прибрежная,Канада,data/gemini.csv_hot,False,"Ответ указывает на канадский арктический архипелаг, т.е. на территорию Канады, что соответствует правильному ответу; нет противоречий реальности."
"Как назывался самый первый искусственный спутник Земли, который был успешно запущен Соединенными Штатами Америки в ответ на советский «Спутник-1»?","Самый первый искусственный спутник Земли, запущенный Советским Союзом в октябре 1957 года, носил название «Спутник-1». Этот спутник открыл эру космической эры и стал первым успешным шагом человечества в освоеении космоса. Его успех вызвал широкую международную реакцию и положил начало космической гонке между СССР и США.

В ответ на запуск «Спутника-1», Соедин","«Эксплорер-1» (Explorer 1), запущенный 1 февраля 1958 года",data/gemini.csv_hot,True,"Модель вместо названия первого американского спутника (Explorer 1) описывает Советский Спутник‑1, тем самым даёт неверную информацию о названии и стране запуска спутника."
В стенах какого музея в настоящее время на постоянной основе экспонируется знаменитая мраморная скульптура Микеланджело «Давид»?,"Знаменитая мраморная скульптура Микеланджело «Давид» в настоящий момент выставляется в Галерее академии изящных искусств в Флоренции. Она располагается прямо перед зданием галереи. Хотя музей был основан еще в эпоху Возрождения и его первый директор Вазари описывал это место как идеальную библиотеку человеческих знаний, сама работа находится там с 1873 года после",Галерея Академии (Флоренция),data/gemini.csv_hot,False,"Ответ точно указывает, что «Давид» экспонируется в Галерее академии (Флоренция), что соответствует эталону; добавленные детали (размещение перед зданием, дата 1873) также верны, ошибок нет."
"Какое масштабное сражение считается последней крупной битвой Наполеона Бонапарта, после которой он был окончательно сослан?","## Последняя крупная битва Наполеона I Бонапарта — это **сражение при Ватерлоо**

Суть событий: **битва при Ватерлоо, состоявшаяся 18 июня (или 19-го по новому стилю) 1815 года, означала окончательное завершение правления Наполеона и его участие в европейской политике**. В этом сражении",Битва при Ватерлоо,data/gemini.csv_hot,False,"Ответ корректно указывает битву при Ватерлоо как последнюю крупную битву Наполеона и правильно указывает дату (18 июня/19 июня по новому стилю), без ошибок."
"Кто является автором классического антиутопического романа «О дивный новый мир», впервые опубликованного в 1932 году?","Автор классического антиутопического романа ""О дивный новый мир"" — Олдос Леонард Хаксли.

Роман был впервые опубликован в 1932 году. Хаксли написал множество других произведений и широко известен как один из ведущих философов английского общества модернизма XX века. В своих работах он исследовал темы индивидуальности, свободы воли, технологий, религии и психологии, выраж",Олдос Хаксли,data/gemini.csv_hot,False,"Ответ правильно указывает автора романа – Олдоса Хаксли (полное имя Олдос Леонард Хаксли), и год публикации 1932 года, что соответствует фактам."
Какой химический элемент был открыт супругами Марией и Пьером Кюри в 1898 году и назван в честь исторической родины Марии?,"Вильям Рамзай обнаружил гелий на Земле почти через четверть века после открытия извергавшихся на Солнце водородных атомов.
В 1868 году французский астроном Пьер Жансен провел исследования солнечной короны во время полного солнечного затмения в Индии и идентифицировал излучение, приписываемое ранее неизвестному газу.
Дэниел Маквортер и",Полоний,data/gemini.csv_hot,True,"Ответ не содержит правильный элемент (полоний) и вместо этого приводит неверные и не относящиеся к вопросу факты о Гелии, Вильяме Рамзае и Пьере Жансене, что является фактической ошибкой."
Какой древнеримский император своим указом официально сделал христианство единственной государственной религией Римской империи?,"Рескрипт императора Константина I Великого, изданный приблизительно в 313 году, стал известен как Миланский эдикт. Этот документ официально узаконивал терпимость к христианам и другим религиозным вероисповеданиям внутри границ империи, положив конец эпохе гонений на эту группу населения. Важно отметить, что миланский эдикт не сразу делал христианство",Феодосий I Великий (издал Фессалоникийский эдикт в 380 году),data/gemini.csv_hot,True,"Модель указала Константина I и Миланский эдикт 313 года, хотя христианство стало официальной государственной религией при Феодосии I в 380 года; это противоречит реальности"
"Какое млекопитающее, согласно современным научным данным, является самым крупным из когда-либо живших на нашей планете?","Согласно современным научным данным, крупнейшим животным из когда-либо живших на Земле считается животное с длиной тела до 30-33 метров и массой около 200 тонн. Это морской гигант - синим китом (*Balaenoptera musculus*).",Синий кит,data/gemini.csv_hot,False,"Ответ правильно указывает, что самым крупным млекопитающим из всех когда‑либо живших является синий кит, и приводит корректные диапазоны длины (30‑33 м) и массы (около 200 тонн)."
Какая императорская династия правила в Китае непосредственно перед Синьхайской революцией и установлением республики в 1912 году?,"Непосредственно перед Синьхайской революцией и установлением Республики Китай правящей династией была династии Цин, также известная как маньчжурская династия или последняя империя Китая.

Династия Цин пришла к власти в результате падения предыдущей имперской династии Мин в середине XVII века и правил страной вплоть до 1912 года, когда был свергнут её последний",Династия Цин,data/gemini.csv_hot,False,"Ответ точно указывает, что перед Синьхайской революцией правил династия Цин, что соответствует фактам; дополнительные сведения о её происхождении и дате падения также верны."
В каком году и в каком городе состоялись первые в современной истории летние Олимпийские игры?,"1 июля 1894 года Париж объявил о своей способности проведения Олимпийских игр в 1900-м году. Город был выбран для проведения летних игр с целью объединения Франции после политического кризиса после окончания франко-прусской войны 1871 года, сообщает РИА Новости. Однако из-за плохого планирования Франция потерпела катастрофу: организаторы слишком поздно начали подготовку к ним и не смогли подготовиться","1896 год, Афины",data/gemini.csv_hot,True,"Модель утверждает, что первые современные летние Олимпийские игры связаны с Парижем в 1894 году и 1900‑м годом, тогда как правильный факт: первые игры прошли в 1896 году в Афинах."
"Какой мореплаватель первым в истории официально открыл Гавайские острова для европейцев, назвав их Сэндвичевыми островами?","В 1778 году британец Джеймс Кук первым из европейцев открыл остров Гавайи, самый большой остров в архипелаге. Во время своей экспедиции капитан Кук изучал Тихий океан и нанес на карту множество неизвестных земель. В течение его плавания он также открыл другие острова, включая Гуам и группу островов Маршалловых. Открытие Гавайев стало важным событием, и эти",Джеймс Кук,data/gemini.csv_hot,True,"Модель неверно утверждает, что Джеймс Кук открыл Гуам и Маршалловы острова, что противоречит историческим данным; эти детали являются ошибочными."
"Как называется самая глубокая точка Мирового океана, расположенная в Марианской впадине?","Самая глубокая точка Мирового океана находится в Марианском глубоководном желобе, который расположен в западной части Тихого океана и является частью система разломов, проходящих вдоль побережья Восточной Азии по всей длине Марианских островов. Эта глубоководная впадина достигает максимума глубины около 11 километров ниже уровня моря. Эту точку называют Бездвень Чолнке (Trench Challenger",Бездна Челленджера,data/gemini.csv_hot,True,"Модель назвала самую глубокую точку неверным именем («Бездвень Чолнке», «Trench Challenger») вместо правильного названия «Бездна Челленджера» (Challenger Deep), что является фактической ошибкой."
"Кто является автором знаменитой оперы «Волшебная флейта», премьера которой состоялась в Вене в 1791 году?",Автором знаменитой оперы «Волшебная флейта» является Вольфганг Амадей Моцарт.,Вольфганг Амадей Моцарт,data/gemini.csv_hot,False,"Ответ точно указывает, что автором оперы ""Волшебная флейта"" является Вольфганг Амадей Моцарт, что соответствует реальности."
Какое химическое вещество является самым распространенным элементом во Вселенной по массе?,"Самым распространённым химическим элементом во Вселенной в расчёте на массу является водород (H). На его долю приходится около 75% общей массы вещества всего космоса. Это обусловлено первоначальным синтезом водорода в процессе Большого Взрыва и последовавшим за ним формированием звёздных и планетарных систем вокруг них.

Кислород (O) — второй по распространённости элемент по массе",Водород,data/gemini.csv_hot,False,"Ответ корректно указывает, что водород является самым распространённым элементом во Вселенной по массе; указанные данные соответствуют действительности"
"В каком году произошло падение Берлинской стены, ставшее символом окончания холодной войны?","Падение Берлинской стены происходило **в 1989 году**, а именно **27 февраля** города в Германии были соединены по суше. Именно этот день часто отмечается как событие завершения холодной войны и начала переосмысления будущего на рубеже десятилетий двадцатого века.",9 ноября 1989 года,data/gemini.csv_hot,True,"Модель указала неверную дату падения Берлинской стены — 27 февраля 1989 года вместо правильной даты 9 ноября 1989 года, что является фактологической ошибкой."
Кто из русских ученых-химиков считается создателем первой в мире периодической таблицы химических элементов?,"Дмитрий Иванович Менделеев, русский ученый-химик, является главным кандидатом для создания первой в мире периодической таблицы химических элементов.",Дмитрий Иванович Менделеев,data/gemini.csv_hot,False,"Ответ точно указывает Дмитрия Ивановича Менделеева как создателя первой периодической таблицы, что соответствует эталону; дополнительных деталей ошибочных нет."
Какой город на территории современной Турции ранее назывался Константинополем и был столицей Византийской империи?,"Город Константинополь, ныне столица Турции, а также историческое название Стамбула — один из крупнейших городов мира с богатой и сложной историей. В разные эпохи он переживал подъёмы, упадки, смены правителей и утратил своё первенство среди столичных центров мира. Современный Стамбул является мультикультурным и мультифольклорным центром, привлекающим миллионы туристов со всего",Стамбул,data/gemini.csv_hot,True,"Модель утверждает, что современный Стамбул является столицей Турции, что неверно (столицей является Анкара)."
"Кто был первым человеком, совершившим выход в открытый космос в марте 1965 года?","Первым человеком, вышедшим в открытый космос, стал советский космонавт Алексей Архипович Леонов.

Алексей Леонов совершил свой легендарный выход в открытый космос на борту космического корабля «Восход-2». Это событие произошло 18 марта 1965 года. Выход в открытый космос длился всего около 12 минут и сопровождался рядом технологических трудностей, которые потребовали от",Алексей Леонов,data/gemini.csv_hot,True,"Модель указала неверный патроним: Алексей Леонов — Алексей Алексеевич, а не Архипович"
"Как называется философская работа Иммануила Канта, в которой он вводит понятие «категорического императива»?","В этом случае можно назвать три произведения Канта, в которых эта концепция играет важную роль:

1. **""Критика чистого разума""**, где Кант формулирует свой знаменитый категорический императив — моральное предписание универсальности морального долга, основанное на разуме.

2. **«Критика практического разума»** (также известная как ""Основание метафизики",«Основы метафизики нравственности» (также подробнее развито в «Критике практического разума»),data/gemini.csv_hot,True,"Модель ошибочно утверждает, что категорический императив формулируется в «Критике чистого разума», тогда как он впервые вводится в работе «Основы метафизики нравственности» (и далее развивается в «Критике практического разума»)."
Какой мореплаватель совершил первое в истории задокументированное кругосветное путешествие?,"Мореплавателем, который осуществил первое задокументированное кругосветное путешествие, был Фердинанд Магеллан (Portuguese Manuel de Sousa), испанец по рождению. 
В 1519 году под руководством Магеллана началась экспедиция, известная как Первая кругосветная экспедиция. Он начал своё путешествие из Испании с командой кораблей и экипажа более чем два десятка",Хуан Себастьян Элькано (Магеллан погиб в пути),data/gemini.csv_hot,True,"Модель приписывает первое задокументированное кругосветное путешествие Магеллану, хотя его не завершил; завершил его Хуан Себастьян Элькано. Кроме того, ошибочно указана фамилия ""Manuel de Sousa""."
Кто из ученых открыл явление радиоактивности в 1896 году?,"Французский физик Анри Беккерель именно открыл явлению радиоактивности и доказал, что оно не связано с видимым ультрафиолетовым светом и другими известными на тот момент источниками энергии. На своей родине, в Париже (Франция), французский физики Анри Беккерель стал первооткрывателем такого явления как естественная испускаемая радиация. Его открытие привело к тому, что",Анри Беккерель,data/gemini.csv_hot,False,"Ответ правильно указывает, что Анри Беккерель открыл радиоактивность; нет неверных дат, имен или фактов."
В каком году был подписан Манифест об отмене крепостного права в России императором Александром II?,Манифестом о крестьянах — освобождавших крестьян от крепостной зависимости с землёй за выкуп и бывших помещиков от крестьянских повинностей был подписан 19 февраля нового стиля.,19 февраля 1861 года,data/gemini.csv_hot,True,"Ответ не указывает год (1861), а вместо него пишет «19 февраля нового стиля», что не соответствует реальному году подписания манифеста и является фактической ошибкой."
Назовите автора знаменитой картины «Девочка на шаре».,Автором знаменитой картины «Девочка на шаре» является художник-пуантилист Пабло Пикассо. Эта работа была написана им в 1905 году и принадлежит к его так называемой «голубой период».,Пабло Пикассо,data/gemini.csv_hot,True,"В ответе неверно указано, что Пикассо — художник‑пуантилист, а также что картина написана в 1905 году и относится к его «голубому периоду», что противоречит реальности."
Какой город считается самым старым из постоянно населенных городов мира согласно большинству исторических источников?,"Часть 1 / Определение критерия 'самого старого города'

### Историческое значение ""старейших городов""
Определение того, какой город является ""самым старым"" по критериям постоянного проживания может быть условным и зависеть от выбранной точки отсчёта. Одни исследователи считают основанием для старейшего города дату первого поселения на этом месте; другие - год написания первой записи о городе или его археологический возраст","Иерихон (Дамаск часто оспаривает это, но археологические данные Иерихона древнее)",data/gemini.csv_hot,False,"Ответ не содержит неверных фактов; он лишь не дает прямого ответа, что не считается фактологической ошибкой по правилам."
"Кто открыл закон всемирного тяготения, наблюдая за падением яблока в своем саду?","Закон Всемирного Тяготения был открыт И́ва́ном Фёдоровичем Па́вловым. 


**Ответ:** Исаа́к Ньюто́н",Исаак Ньютон,data/gemini.csv_hot,True,"Модель неверно заявила, что закон всемирного тяготения открыл Иван Фёдорович Павлов, что противоречит реальному историческому факту (закон открыл Исаак Ньютон)."
"Как называется столица Исландии, являющаяся самой северной столицей суверенного государства?","Столица Исландии — это Рейкьявик, который является самой северной столицей суверенного государства на Земле. Рейкьявик расположен в северо-западной части Атлантического океана на северо-восточном побережье Исландии и считается самым северным городом с населением свыше 100 тысяч человек. Город стоит у берега озера Тингватнс и окружён холмами, а также находится среди",Рейкьявик,data/gemini.csv_hot,True,"Ответ содержит неверные географические сведения: Рейкьявик находится на юго-западном побережье Исландии, а не на северо‑восточном, и он не расположен у озера Тингватнс (это озеро не связано с Рейкьявиком)."
Кто написал знаменитый цикл романов «В поисках утраченного времени»?,"Цикл романов «В поисках утраченного времени» (фр. ""À la recherche du temps perdu"") был написан французским писателем Марселем Прустом между 1913 и 1927 годами. Первый том этого цикла под названием «В сторону Сванна» («Du côté de chez Swann») впервые увидел свет в 1",Марсель Пруст,data/gemini.csv_hot,False,"Ответ правильно указывает автора — Марсель Пруст, а указанные даты (1913–1927) соответствуют реальности; отсутствие полного последнего года не вводит в заблуждение."
"Какое животное является единственным млекопитающим, способным к активному и длительному машущему полету?","Единственное млекопитающее, которое способно к активному и длительному машущему полёту — это **крылан**. К ним относятся представители семейства крыланов или летучих собак, обитающих в тропических лесах Африки, Азии и Австралии. Крыланы имеют развитые перепонки, натянутые между конечностями и хвостом, которые они могут использовать для полета. Они используют мах",Летучая мышь (отряд рукокрылые),data/gemini.csv_hot,True,"Модель дала неверный ответ: назвала ""крылан"" (как будто это семейство летучих собак), тогда как единственное млекопитающее, способное к активному и длительному машущему полёту, — это летучая мышь (отряд рукокрылые). Утверждения о семье ""крыланов"" и их способности к полёту являются ошибочными."
